Organization A,Organization B,Organization,Person,Person A,Person B,Connection,Source(s)
HALL CAPITAL PARTNERS,THRIVE CAPITAL,,,,,Investor,http://www.forbes.com/sites/stevenbertoni/2016/07/18/new-york-vc-thrive-captial-raises-700-million-for-fifth-fund/#76362ed627d4
"HUDSON WATERFRONT ASSOCIATES I, L.P.","HWA 555 OWNERS, LLC",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"HUDSON WATERFRONT ASSOCIATES III, L.P.",HWA 1290 III LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"HUDSON WATERFRONT ASSOCIATES IV, L.P.",HWA 1290 IV LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"HUDSON WATERFRONT ASSOCIATES V, L.P.",HWA 1290 V LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
HUDSON WATERFRONT CORPORATION,"HUDSON WATERFRONT ASSOCIATES, L.P.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
HUDSON WATERFRONT I CORPORATION,"HUDSON WATERFRONT ASSOCIATES I, L.P.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
HUDSON WATERFRONT II CORPORATION,"HUDSON WATERFRONT ASSOCIATES II, L.P.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
HUDSON WATERFRONT III CORPORATION,"HUDSON WATERFRONT ASSOCIATES III, L.P.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
HUDSON WATERFRONT IV CORPORATION,"HUDSON WATERFRONT ASSOCIATES IV, L.P.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
HUDSON WATERFRONT V CORPORATION,"HUDSON WATERFRONT ASSOCIATES V, L.P.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"HUDSON WESTSIDE ASSOCIATES I, L.P.","HUDSON WATERFRONT ASSOCIATES I, L.P.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"HUDSON WESTSIDE ASSOCIATES II, L.P.","HUDSON WATERFRONT ASSOCIATES II, L.P.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"HUDSON WESTSIDE ASSOCIATES III, L.P.","HUDSON WATERFRONT ASSOCIATES III, L.P.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
HUDSON WESTSIDE ASSOCIATES IV. L.P.,"HUDSON WATERFRONT ASSOCIATES IV, L.P.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"HUDSON WESTSIDE ASSOCIATES V, L.P.","HUDSON WATERFRONT ASSOCIATES V, L.P.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"HUDSON WESTSIDE ASSOCIATES, L.P.","HUDSON WATERFRONT ASSOCIATES, L.P.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
HWA 1290 III LLC,"1290 AVENUE OF THE AMERICAS, A TENANCY-IN-COMMON",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
HWA 1290 IV LLC,"1290 AVENUE OF THE AMERICAS, A TENANCY-IN-COMMON",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
HWA 1290 V LLC,"1290 AVENUE OF THE AMERICAS, A TENANCY-IN-COMMON",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"HYDE PARK, LLC",TRUMP RUFFIN LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
ILD B.V.,WANDERS DISTILLERY OF HOLLAND,,,,,Subsidiary,http://www.marketwired.com/press-release/drinks-americas-expands-trump-super-premium-vodka-to-russia-nasdaq-dkam-789034.htm
INDIAN HILLS HOLDINGS LLC,INDIAN HILLS DEVELOPMENT LLC,,,,,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
INDITEX,KUSHNER COMPANIES,,,,,Investor,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
INDITEX,ZARA,,,,,Ownership,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
INVESCO LTD.,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
INVESCO LTD.,TRUMP TOWER COMMERCIAL LLC,,,,,Owns collateralized debt,Morningstar analysis
INVESTORS SAVINGS BANK,TRUMP PARK AVENUE LLC,,,,,Mortgage,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
JACKSON NATIONAL LIFE,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
JANUS CAPITAL GROUP,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
JOHN HANCOCK FINANCIAL,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
JPMORGAN CHASE,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
JUPITER GOLF CLUB LLC,TRUMP NATIONAL GOLF CLUB - JUPITER,,,,,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
JUPITER GOLF CLUB MANAGING MEMBER CORP.,TRUMP NATIONAL GOLF CLUB - JUPITER,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"KEYSTONE GROUP, L.P.",ROBERT M. BASS GROUP,,,,,NKA/FKA,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=975808
KGK GROUP,KGK JEWELRY LLC,,,,,Subsidiary,http://www.kgkgroup.com/jewellery-operations-oem-oed/
KGK JEWELRY LLC,MADISON AVENUE DIAMONDS,,,,,Former supplier that then sued the company,http://www.nytimes.com/2016/12/04/us/politics/trump-family-ivanka-donald-jr.html
KUSHNER COMPANIES,AFRICA-ISRAEL INVESTMENTS,,,,,Bought building,https://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
KUSHNER COMPANIES,AMERICAN INTERNATIONAL GROUP INC.,,,,,Sold buildings,http://www.nj.com/business/index.ssf/2011/07/aig_sells_nj_apartment_propert.html
KUSHNER COMPANIES,JK2 WESTMINSTER LLC,,,,,"""Kushner-affiliated corporate entity,"" per New York Magazine",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
KUSHNER COMPANIES,KABR GROUP,,,,,Real-estate partner,http://www.nj.com/hudson/index.ssf/2015/01/kushner_scoops_up_journal_square_property_for_27m.html
KUSHNER COMPANIES,KUSHNER VILLAGE 325 EAST 10TH LLC,,,,,Ownership,https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_token=B002A5ECE5365035015A7C9FD20292C6DDB7B568455ABFE6DAAB32D36F9D98BC3100565BE16C31DD18DEDE4F060EABB3&p_nameid=E561E830DDAAE70F&p_corpid=31D8813231185F50&p_captcha=11188&p_captcha_check=C3952C5B49259598&p_entity_name=Kushner&p_name_type=A&p_search_type=BEGINS&p_srch_results_page=0
KUSHNER COMPANIES,KUSHNER VILLAGE 329 EAST 9TH LLC,,,,,Ownership,https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_token=B002A5ECE5365035015A7C9FD20292C6DDB7B568455ABFE6DAAB32D36F9D98BC3100565BE16C31DD18DEDE4F060EABB3&p_nameid=26F3BBD67995866E&p_corpid=252D7A7A7A5661C2&p_captcha=11188&p_captcha_check=C3952C5B49259598&p_entity_name=Kushner&p_name_type=A&p_search_type=BEGINS&p_srch_results_page=0
KUSHNER COMPANIES,LINCOLN PROPERTY CO.,,,,,Bought building,http://nypost.com/2008/03/04/no-broadway-opening/
KUSHNER COMPANIES,MORGAN PROPERTIES,,,,,Sold buildings,https://www.blankrome.com/index.cfm?contentID=43&itemID=151
KUSHNER COMPANIES,TARRAGON CORP.,,,,,Provided financing,http://archive.northjersey.com/news/troubled-developer-tarragon-to-get-funds-from-kushner-affiliate-1.1241688
KUSHNER COMPANIES,TISHMAN SPEYER PROPERTIES,,,,,Bought building,http://nymag.com/realestate/features/53797/index5.html
KUSHNER COMPANIES,WESTMINSTER CITY LIVING,,,,,Ownership,http://kushner.com/about/
KUSHNER COMPANIES,WESTMINSTER MANAGEMENT,,,,,Ownership,http://kushner.com/about/
KUSHNER COMPANIES,WESTMINSTER RESIDENTIAL ACQUISITION LLC,,,,,Ownership,http://kushner.com/about/
KUSHNER PROPERTIES,INVESCO,,,,,Real-estate partner,http://www.forbes.com/sites/chasewithorn/2016/12/08/trump-and-his-commerce-secretary-wilbur-ross-a-look-at-25-years-of-connections/#1f6e771b362c
KUSHNER PROPERTIES,KUSHNER COMPANIES,,,,,DBA,https://bizstanding.com/profile/kushner+companies+inc-184445362
LADDER CAPITAL FINANCE LLC,TRUMP PLAZA LLC,,,,,Mortgage,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
LADDER CAPITAL FINANCE LLC,TRUMP TOWER COMMERCIAL LLC,,,,,Mortgage,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html | http://www.wsj.com/articles/trump-debts-are-widely-held-on-wall-street-creating-new-potential-conflicts-1483637414
LADDER CAPITAL I FINANCE LLC,40 WALL STREET LLC,,,,,Loan,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html | http://www.wsj.com/articles/trump-debts-are-widely-held-on-wall-street-creating-new-potential-conflicts-1483637414
LFB ACQUISITION LLC,TRUMP NATIONAL GOLF CLUB - BEDMINSTER,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
LFB ACQUISITION MEMBER CORP.,LFB ACQUISITION LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
LIGHTWORKERS MEDIA,UNITED ARTISTS MEDIA GROUP,,,,,Subsidiary,http://variety.com/2015/tv/news/mark-burnett-named-president-of-mgm-television-1201661210/
LOCORR FUNDS,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
LSH BARRA,TRUMP HOTEL COLLECTION,,,,,Partners on Trump Hotel Rio de Janeiro,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html | http://www.trump.com/getmedia/c2b1d224-5191-4128-bef8-f57be251c116/THCRIO/
MACQUARIE GROUP,"DELAWARE MANAGEMENT HOLDINGS, INC.",,,,,Member,https://www.delawareinvestments.com/
MADISON AVENUE DIAMONDS,IVANKA TRUMP FINE JEWELRY,,,,,Operator,http://www.nytimes.com/2016/12/04/us/politics/trump-family-ivanka-donald-jr.html
"MAR-A-LAGO CLUB, INC","MALC, INC.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"MAR-A-LAGO CLUB, INC","MAR-A-LAGO CLUB, LLC",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
MARK BURNETT PRODUCTIONS,TRUMP PRODUCTIONS LLC,,,,,"Partners on The Apprentice, Seasons 1_13",http://www.politico.com/magazine/story/2016/10/donald-trump-mark-burnett-the-apprentice-2016-214349
MERRILL LYNCH CREDIT CORPORATION,MERRILL LYNCH HOME LOANS,,,,,DBA,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=666635
METLIFE INC.,"HWA 555 OWNERS, LLC",,,,,Loaned money,http://www.wsj.com/articles/trump-debts-are-widely-held-on-wall-street-creating-new-potential-conflicts-1483637414
MGM TELEVISION,TRUMP PRODUCTIONS LLC,,,,,"Partners on The Apprentice, Seasons 15_",http://bigstory.ap.org/article/e709b274ad92474c8fb9fdb957318dc1/burnett-mgm-silent-why-no-apprentice-tapes-release
"MISS UNIVERSE L.P., LLLP",TRUMP PAGEANTS LP,,,,,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
MLQ BK REO LLC,GOLDMAN SACHS,,,,,Subsidiary,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=249863894
MLQ LLC,GOLDMAN SACHS,,,,,Subsidiary,https://www.sec.gov/Archives/edgar/data/886982/000119312512085822/d276319dex211.htm
MNC GROUP,MNC BANK,,,,,Subsidiary,http://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html
MNC GROUP,MNC CORPORATION,,,,,Subsidiary,http://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html
MNC GROUP,MNC FINANCIAL SERVICES,,,,,Subsidiary,http://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html
MNC GROUP,MNC LAND,,,,,Subsidiary,http://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html
MNC GROUP,MNC MEDIA,,,,,Subsidiary,http://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html
MOBILE PAYROLL CONSTRUCTION MANAGER CORP.,MOBILE PAYROLL CONSTRUCTION LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
NATIONALIST CONGRESS PARTY (INDIA),TRUMP ORGANIZATION LLC,,,,,"""close ties,"" per Newsweek",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
NATIONWIDE MUTUAL INSURANCE COMPANY,TRUMP TOWER COMMERCIAL LLC,,,,,Owns collateralized debt,Morningstar analysis
NATIXIS,KUSHNER COMPANIES,,,,,Loaned money,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
NEW WORLD PROPERTY MANAGEMENT LIMITED,"TRUMP/NEW WORLD PROPERTY MANAGEMENT, LLC",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
NORTHERN TRUST,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
NORTHERN TRUST,TRUMP TOWER COMMERCIAL LLC,,,,,Owns collateralized debt,Morningstar analysis
NORTHSTAR ASSET MANAGEMENT GROUP INC.,"COLONY NORTHSTAR, INC.",,,,,Part of tri-merger to form Colony NorthStar,http://colonyinc.com/about#t3-mainbody
NORTHSTAR REALTY FINANCE,"COLONY NORTHSTAR, INC.",,,,,Part of tri-merger to form Colony NorthStar,http://colonyinc.com/about#t3-mainbody
NUVEEN INVESTMENTS,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
OAKTREE CAPITAL MANAGEMENT,KUSHNER COMPANIES,,,,,Real-estate partner,http://www.debevoise.com/edwardrishty
OBSERVER MEDIA,PUBLIUS GROUP,,,,,Bought website,http://www.nytimes.com/2007/03/11/fashion/11jared.html
"OCEAN DEVELOPMENT MEMBER, INC.",OCEAN DEVELOPMENT SERVICES LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
ONE CENTRAL PARK WEST ASSOCIATES,ONE CENTRAL PARK WEST PT ASSOCIATES,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
ONE THREE MEDIA,MARK BURNETT PRODUCTIONS,,,,,NKA/FKA,http://www.hearst.com/newsroom/mark-burnett-sets-unscripted-record-six-network-primetime-series-on-air-during-next-12-months
OPO HOTEL MANAGER LLC,THC DC RESTAURANT HOSPITALITY LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
OPO HOTEL MANAGER MEMBER CORP.,OPO HOTEL MANAGER LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
PANAMA OCEAN CLUB MANAGEMENT MEMBER CORP.,PANAMA OCEAN CLUB MANAGEMENT LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
PARAMOUNT RPV HOLDINGS MANAGER CORP.,PARAMOUNT RPV HOLDINGS LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"PARC CONSULTING, INC.",40 WALL DEVELOPMENT ASSOCIATES LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
PAYDEN & RYGEL,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
"PERICLES EMERGING MARKET PARTNERS, L.P.",BLACK SEA CABLE,,,,,Bought station,https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html
"PERICLES EMERGING MARKET PARTNERS, L.P.",PERICLES EMERGING MARKET MANAGERS L.P.,,,,,Managed company,https://assets.documentcloud.org/documents/2814130/Pericles-Winding-Up-Petition.pdf
PIMCO,TRUMP TOWER COMMERCIAL LLC,,,,,Owns collateralized debt,Morningstar analysis
PINE HILL DEVELOPMENT MANAGING MEMBER CORP.,PINE HILL DEVELOPMENT LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
PING AN INSURANCE,OSCAR INSURANCE CORPORATION,,,,,Investor,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
PIONEER INVESTMENTS,TRUMP TOWER COMMERCIAL LLC,,,,,Owns collateralized debt,Morningstar analysis
PLAZA CONSULTING CORP.,"THE EAST 61 STREET COMPANY, L.P.",,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
POKER VENTURE MANAGING MEMBER CORP.,POKER VENTURE LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
PRINCETON UNIVERSITY,THRIVE CAPITAL,,,,,Investor,http://www.forbes.com/sites/stevenbertoni/2016/07/18/new-york-vc-thrive-captial-raises-700-million-for-fifth-fund/#6f6296ff27d4
PRUDENTIAL FINANCIAL,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
PRUDENTIAL FINANCIAL,TRUMP TOWER COMMERCIAL LLC,,,,,Owns collateralized debt,Morningstar analysis
PUTNAM INVESTMENTS,TRUMP TOWER COMMERCIAL LLC,,,,,Owns collateralized debt,Morningstar analysis
RELATED GROUP OF FLORIDA,RUSSIAN-AMERICAN CHAMBER OF COMMERCE IN THE USA,,,,,"The chamber said it had ""signed formal agreements"" with the Related Group to ""jointly service the Russian clientsÍ commercial, residential and industrial real-estate needs,î in an April 2009 newsletter, according to the Financial Times",https://www.ft.com/content/ea52a678-9cfb-11e6-8324-be63473ce146
RESTAURANT 40 MEMBER CORP.,RESTAURANT 40 LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
RIVERNORTH CAPITAL MANAGMENT,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
RPV DEVELOPMENT LLC,TRUMP NATIONAL GOLF CLUB - LOS ANGELES,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
RUSSELL INVESTMENTS,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
RUSSELL INVESTMENTS,TRUMP TOWER COMMERCIAL LLC,,,,,Owns collateralized debt,Morningstar analysis
SANEI INTERNATIONAL,ABIGAIL KLEM,,,,,Business relationship,http://www.nytimes.com/2016/12/04/us/politics/trump-family-ivanka-donald-jr.html
SCOUT INVESTMENTS,TRUMP TOWER COMMERCIAL LLC,,,,,Owns collateralized debt,Morningstar analysis
SEI INVESTMENTS COMPANY,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
SEI INVESTMENTS COMPANY,TRUMP TOWER COMMERCIAL LLC,,,,,Owns collateralized debt,Morningstar analysis
SENTIENT JETS LLC,TRUMP JETS LLC,,,,,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
SENTIENT JETS MEMBER CORP.,TRUMP JETS LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
SG COWEN SECURITIES CORP.,BANNON & CO.,,,,,Acquired,http://variety.com/1998/biz/news/cowan-weds-bannon-1117481033/
SG COWEN SECURITIES CORP.,SOCIÄTÄ GÄNÄRALE,,,,,Subsidiary,http://variety.com/1998/biz/news/cowan-weds-bannon-1117481033/
SLC TURNBERRY LIMITED,TRUMP TURNBERRY,,,,,DBA,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=262845745
SMC OCEAN LLC,TRUMP ON THE OCEAN LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
SOHO 3203,BAYROCK/SAPIR ORGANIZATION LLC,,,,,"Soho 3203 bought an apartment in Trump SoHo through Bayrock/Sapir, according to the Financial Times",https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
SOHO 3310,BAYROCK/SAPIR ORGANIZATION LLC,,,,,"Soho 3310 bought an apartment in Trump SoHo through Bayrock/Sapir, according to the Financial Times",https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
SOHO 3311,BAYROCK/SAPIR ORGANIZATION LLC,,,,,"Soho 3311 bought an apartment in Trump SoHo through Bayrock/Sapir, according to the Financial Times",https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
STATE STREET CORPORATION,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
SUNAMERICA,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
T INTERNATIONAL REALTY LLC,TRUMP INTERNATIONAL REALTY,,,,,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
T. ROWE PRICE,40 WALL STREET LLC,,,,,Owns collateralized debt,Morningstar analysis
THC BAKU HOTEL MANAGER SERVICES MEMBER CORP.,THC BAKU HOTEL MANAGER SERVICES LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC BAKU SERVICES MEMBER CORP.,THC BAKU SERVICES LLC,,,,,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
